W001,W002,W003,W004,W005,W006,W007,W008,W009,W010,W011,W012,W013,W014,W015,W016,W017,W018,W019,W020,W021,W022,W023,W024,W025,W026,W027,W028,W029,W030,W031,W032,W033,W034,W035,W036,W037,W038,W039,W040,W041,W042,W043,W044,W045,W046,W047,W048,W049,W050,W051,W052,W053,W054,W055,W056,W057,W058,W059,W060,W061,W062,W063,W064,W065,W066,W067,W068,W069,W070,W071,W072,W073,W074,W075,W076,W077,W078,W079,W080,W081,W082,W083,W084,W085,W086,W087,W088,W089,W090,W091,W092,W093,W094,W095,W096,W097,W098,W099,W100,W101,W102,W103,W104,W105,W106,W107,W108,W109,W110,W111,W112,W113,W114,W115,W116,W117,W118,W119,W120,W121,W122,W123,W124,W125,W126,W127,W128,W129,W130,W131,W132,W133,W134,W135,W136,W137,W138,W139,W140,W141,W142,W143,W144,W145,W146,W147,W148,W149,W150,W151,W152,W153,W154,W155,W156,W157,W158,W159,W160,W161,W162,W163,W164,W165,W166,W167,W168,W169,W170,W171,W172,W173,W174,W175,W176,W177,W178,W179,W180,W181,W182,W183,W184,W185,W186,W187,W188,W189,W190,W191,W192,W193,W194,W195,W196,W197,W198,W199,W200,W201,W202,W203,W204,W205,W206,W207,W208,W209,W210,W211,W212,W213,W214,W215,W216,W217,W218,W219,W220,W221,W222,W223,W224,W225,W226,W227,W228,W229,W230,W231,W232,W233,W234,W235,W236,W237,W238,W239,W240
0,0,0,-43,0,0,0,0,-1,0,0,0,-40,-40,-1,0,0,0,-1,-1,0,0,-1,0,0,0,0,-1,-1,-1,-1,0,-1,0,0,1,-1,1,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,1,1,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,-1,0,-1,1,0,-1,0,0,1,0,-1,0,-1,-1,0,0,-1,-1,0,0,-1,1,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,1,0,-1,0,0,0,1,0,-1,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0
0,-1,0,0,0,0,0,0,0,1,1,1,0,0,-1,0,-1,0,1,0,0,-1,5,0,0,-1,0,0,0,0,-1,0,0,0,-60,4,0,0,0,1,0,0,0,0,-1,0,1,0,0,0,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,1,1,-1,0,-1,-1,0,0,1,1,1,-1,0,-6,0,0,8,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,1,0,-1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,9,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,7,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0
1,0,0,0,0,0,1,8,-20,3,5,3,2,1,-14,8,3,9,8,7,5,1,2,-393,0,0,0,0,0,0,0,-1,3,-291,5,2,3,4,1,1,4,5,-384,1,1,1,1,1,1,0,-1,0,0,0,1,1,6,7,-382,9,1,5,-7,9,9,1,1,9,7,-14,1,2,1,0,0,0,1,0,1,2,0,0,2,-26,6,0,2,6,5,0,7,5,8,1,8,2,1,8,0,0,0,-1,-1,3,-53,1,6,3,0,3,8,4,4,5,4,2,7,5,2,2,1,-1,0,0,1,0,0,1,5,-44,4,9,3,5,4,4,-12,-21,7,3,5,-17,6,4,1,0,0,-1,0,-1,4,6,9,7,4,4,3,3,9,5,7,7,1,1,-10,4,-3,0,1,0,0,0,0,0,1,8,2,0,5,4,9,2,8,2,8,5,3,5,9,1,8,8,1,-1,0,0,0,0,0,0,1,1,1,1,-1,1,1,7,1,1,1,2,0,3,1,1,0,-1,0,1,0,0,0,0,0,1,-3,-1,0,0,-1,1,4,0,0,1,8,1,2,1
0,-1,-1,-100,0,-85,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,-1,0,0,0,0,-1,-1,0,-1,0,0,0,-100,-100,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,-1,0,0,-1,0,0,-100,0,0,0,-1,0,-1,-98,0,0,-1,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,-1,0,0,-1,0,-1,0,-1,1,-1,0,0,1,0,0,-1,-1,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,1,-1,-1,0,-1,-1,-1,0,0,-1,0,0,-1,0,0,0,1,0,1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,0,1,1,-1,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,-1,-1,-1,0,-1,0,0,0,-1,-1,0,-1,-1,0,-1,0,-1,0,0,0,0,-1,0,0
7,2,0,5,6,6,5,1,2,0,1,0,0,9,6,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,3,1,0,0,0,-1,0,0,0,-1,0,-1,0,0,-1,0,0,0,3,0,4,9,3,1,-8,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,6,2,6,1,5,8,7,6,7,5,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,7,0,8,8,8,6,3,4,1,0,5,-6,7,2,8,3,0,5,2,4,8,8,9,2,2,3,5,4,0,9,-25,8,5,4,2,7,9,1,0,1,3,5,1,1,8,0,6,-7,4,8,7,9,8,5,4,4,6,1
0,0,0,0,0,0,0,-1,0,0,-100,0,-100,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-100,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-100,0,-1,0,-1,0,0,-1,0,0,-1,0,0,0,-1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,1,0,-1,0,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,1,-1,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0
1,-56,7,-98,5,1,2,5,9,5,-184,8,8,7,6,2,0,7,-7,8,6,2,5,-185,1,0,1,2,-7,-6,7,2,5,9,8,9,-5,3,7,7,1,7,0,-9,-4,9,2,5,3,6,3,4,6,3,7,6,7,3,6,8,0,2,7,6,3,7,4,3,3,0,1,0,8,9,-11,2,8,8,8,7,5,8,1,-7,1,3,2,5,5,0,2,9,-11,6,8,7,4,5,3,4,2,9,0,1,2,8,-5,8,6,1,8,8,4,2,3,8,8,5,6,3,0,2,4,5,-13,7,5,6,6,5,9,9,5,0,5,2,-5,2,9,9,5,3,5,9,2,-8,-10,9,6,9,1,2,9,4,9,7,8,6,6,7,2,8,-8,-4,-6,3,-12,2,1,5,5,1,7,0,3,-10,9,-11,7,3,1,7,0,0,-11,2,1,1,4,6,0,-7,1,9,3,3,1,9,8,3,4,8,-9,5,9,5,8,1,9,0,9,4,-6,7,9,3,1,-8,4,0,9,0,3,6,-8,1,6,4,8,-10,7,1,5,8,7,9,7,-11,1,7
0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-10,-1,0,0,0,-10,-1,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,0,0,0,-1,-1,1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,0,-1
0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,-1,-1,0,0,-1,-1,0,0,0,-1,-1,0,0,0,0,-1,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,-1,-320,-1,0,0,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,1,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1
-30,-1,0,-65,0,-55,0,0,0,3,1,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,-50,-1,0,0,0,-1,-60,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,-1,0,0,-1,0,0,-1,0,0,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,-1,0,0,-1,0,5,-3,0,-1,-1,3,0,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,-1,-1,1,0,0,-1,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0,-100,-1,-1,-1,1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,-1,0,-1,0,-1,-1,0,0,0,-1,0,0
