ID,differ,badweek,综合得分
S001,-0.758333333,72,0.90413881
S002,-0.15,31,0.679036992
S003,-4.754166667,29,0.665935265
S004,-2.704166667,82,0.958218902
S005,1.558333333,11,0.569877384
S006,-1.8,44,0.749743743
S007,0.966666667,32,0.685045229
S008,-0.220833333,42,0.739472449
S009,-2.85,68,0.881193025
S010,-1.691666667,68,0.881723255
S011,0.004166667,15,0.591154281
S012,-1.1625,58,0.826994681
S013,1.73E-18,10,0.563666973
S014,-0.016666667,11,0.569156424
S015,-116.0625,39,0.669954435
S016,-0.004166667,6,0.541676746
S017,-0.233333333,46,0.761455048
S018,-0.195833333,47,0.766969294
S019,-0.7,49,0.77773267
S020,-0.4625,68,0.882285908
S021,-1.016666667,23,0.634663633
S022,-0.725,53,0.799709547
S023,-24.3125,63,0.843883119
S024,-0.4625,43,0.744858906
S025,0.275,19,0.613266576
S026,0.020833333,3,0.525196949
S027,-0.008333333,19,0.61313688
S028,-0.166666667,32,0.684526443
S029,-3.783333333,71,0.89725703
S030,0.15,1,0.514261915
S031,2.720833333,18,0.608889081
S032,-0.108333333,39,0.723032706
S033,0.008333333,3,0.525191227
S034,-6.983333333,70,0.890295143
S035,-0.341666667,58,0.827370419
S036,0.1,7,0.547221508
S037,-70.79583333,16,0.564242508
S038,-0.241666667,65,0.865895755
S039,-2.333333333,23,0.634060926
S040,-1.895833333,23,0.634261193
S041,-0.55,42,0.739321773
S042,-0.683333333,37,0.711775339
S043,-1.291666667,53,0.799450154
S044,0.0125,4,0.530690215
S045,-0.483333333,64,0.860288051
S046,-0.104166667,55,0.810987895
S047,-36.55833333,71,0.882254203
S048,-0.116666667,28,0.662561011
S049,-0.0625,24,0.640597485
S050,0.0625,3,0.525216022
S051,-13.07916667,49,0.77206608
S052,-0.0375,21,0.624117689
S053,0.070833333,0,0.508777521
S054,-0.3625,33,0.68993388
S055,-33.80833333,24,0.625150257
S056,-0.1125,31,0.679054158
S057,-0.295833333,38,0.717449798
S058,-1.345833333,60,0.83790492
S059,-3.1125,64,0.859084545
S060,-0.0125,16,0.596643732
S061,-5.216666667,42,0.737185596
S062,-0.004166667,13,0.580156306
S063,-3.808333333,61,0.842274785
S064,-50.46666667,13,0.557056987
S065,-0.1125,34,0.695545398
S066,-2.304166667,21,0.623080117
S067,0.2125,2,0.519787605
S068,-1.025,58,0.827057622
S069,-0.85,43,0.744681527
S070,-0.195833333,9,0.55808025
S071,-0.570833333,66,0.871242158
S072,-0.320833333,28,0.662467553
S073,0.004166667,6,0.54168056
S074,-81.6125,51,0.751688958
S075,0.254166667,20,0.61875412
S076,0.416666667,17,0.602337264
S077,-0.575,48,0.772292809
S078,-6.6,22,0.62661077
S079,-0.8625,31,0.678710844
S080,1.4875,30,0.674289482
S081,0.004166667,10,0.563668881
S082,-0.175,52,0.794464231
S083,-9.05,20,0.614495117
S084,-2,56,0.815617153
S085,-0.225,36,0.706488062
S086,-50.775,33,0.666857449
S087,-0.091666667,13,0.580116253
S088,-0.620833333,27,0.656833147
S089,-0.475,19,0.612923262
S090,-0.416666667,16,0.596458724
S091,-0.220833333,25,0.646022088
S092,0.316666667,15,0.591297329
S093,-4.908333333,49,0.775806297
S094,-0.841666667,30,0.6732233
S095,-0.320833333,61,0.843871196
S096,-75.97083333,29,0.633335681
S097,-65.90416667,52,0.764376562
S098,0.333333333,15,0.591304958
S099,-5.6375,19,0.610560116
S100,-5.95,82,0.956733115
S101,-3.058333333,56,0.815132699
S102,-2.033333333,32,0.683671973
S103,-10.42083333,47,0.762288778
S104,-1.291666667,53,0.799450154
S105,-0.2375,36,0.70648234
S106,0.066666667,3,0.52521793
S107,-5.925,40,0.725867195
S108,-127.0625,13,0.521995079
S109,-0.391666667,38,0.71740593
S110,0.008333333,45,0.756068591
S111,-4.2875,24,0.638663482
S112,-0.275,11,0.569038172
S113,0.308333333,13,0.580299354
S114,-15.21666667,34,0.688631433
S115,-1.6375,39,0.722332727
S116,-0.05,15,0.591129486
S117,-13.325,55,0.80493603
S118,-7.55,45,0.752608748
S119,-0.245833333,39,0.722969765
S120,-0.045833333,19,0.613119714
S121,-0.195833333,30,0.673518932
S122,0.016666667,16,0.596657083
S123,1.4125,46,0.762208432
S124,-0.120833333,18,0.607588302
S125,-0.775,48,0.772201259
S126,-353.1041667,16,0.435015255
S127,-1.366666667,43,0.744445022
S128,0.029166667,24,0.640639446
S129,-3.670833333,45,0.754384445
S130,-1.170833333,77,0.931435388
S131,-7.7875,22,0.626067189
S132,-0.05,23,0.635106127
S133,0.041666667,7,0.547194806
S134,-1.929166667,47,0.766175857
S135,0.025,16,0.596660898
S136,-3.395833333,26,0.650065805
S137,-22.225,69,0.877821157
S138,-9.479166667,38,0.713246107
S139,-107.8583333,7,0.497803347
S140,-746.0666667,25,0.304609539
S141,0.325,19,0.613289464
S142,-0.4875,32,0.684379581
S143,-49.09583333,25,0.62364945
S144,-0.145833333,17,0.602079778
S145,-10.375,51,0.784298078
S146,-1.85,54,0.804691656
S147,-0.208333333,13,0.580062849
S148,-4.0375,66,0.869655284
S149,0.191666667,11,0.569251789
S150,-15.34166667,49,0.771030416
S151,-300.05,11,0.431815515
S152,0.154166667,40,0.728649946
S153,-10.35833333,46,0.756820307
S154,-10.79166667,40,0.723639467
S155,-1.558333333,39,0.722368966
S156,-0.9625,37,0.711647549
S157,-137.0375,21,0.561405641
S158,-42.15833333,33,0.670801747
S159,-0.158333333,44,0.750495219
S160,-261.0125,53,0.680562379
S161,-103.7625,58,0.780029308
S162,-4.008333333,80,0.946627757
S163,-2.345833333,42,0.738499726
S164,-3.383333333,61,0.84246933
S165,-2.441666667,39,0.721964618
S166,-0.466666667,36,0.706377438
S167,-0.370833333,49,0.777883347
S168,-6.483333333,52,0.791576577
S169,0.383333333,6,0.541854125
S170,-0.845833333,20,0.618250592
S171,-0.116666667,38,0.717531812
S172,0.270833333,19,0.613264669
S173,-6.116666667,25,0.643323257
S174,0.3875,2,0.519867712
S175,0.391666667,5,0.536360859
S176,-1.408333333,41,0.733431789
S177,-0.408333333,59,0.832836982
S178,0.170833333,0,0.508823296
S179,-2.5,62,0.848370758
